x1,x2,y
-1.34682335,1.229841902,1
0.607223497,-1.060220581,3
-0.718529734,0.948297469,1
-1.497588317,1.264141288,1
1.217092373,1.04040338,2
0.517682782,-1.165067794,3
-0.893270402,-0.713676904,0
-1.243112007,0.904580388,1
-1.495061573,-0.690224837,0
0.415864332,1.435810445,2
-0.74674018,0.962829605,1
-0.887375592,1.041736324,1
0.71805717,1.477954778,2
-1.111815556,-0.882396052,0
0.511806619,1.935837691,2
-1.292640682,-0.960751009,0
1.208789635,0.878312087,2
1.676091107,-1.142925814,3
-1.012337917,1.665285813,1
0.627073896,-1.051546952,3
-0.82079519,0.722355934,1
0.578812504,-1.278513165,3
0.384383764,-0.48892506,3
0.597842097,-1.504657495,3
1.088680093,-1.010011481,3
0.500683154,1.361186905,2
0.917397645,0.691747403,2
0.509642999,-0.851351801,3
1.096899356,-1.290237228,3
1.173790026,-1.062870792,3
-0.979069437,-0.781029112,0
-0.868540653,-0.902199853,0
-1.01551555,-1.244257556,0
-1.290070406,0.993328001,1
1.364064103,-0.709669044,3
0.52015846,0.427685182,2
1.088925977,-1.066373773,3
-0.395025967,0.916340344,1
-0.159079926,-0.79928959,0
0.699719028,-0.613561231,3
0.966611377,-1.189697854,3
-0.634448603,0.983786639,1
1.226114878,-1.034545868,3
0.81011789,-0.588433132,3
1.707722472,-0.921374686,3
0.669392375,0.65952038,2
1.373061082,-0.922063204,3
1.37359626,1.020703443,2
0.998897664,-0.554851548,3
-0.822911705,-1.225220737,0
-1.337249838,-0.967857178,0
0.545273846,0.54677866,2
1.094151317,0.810866985,2
0.99045185,-1.092159952,3
1.03093759,0.849289587,2
0.758408099,-1.235956275,3
-0.998954128,-0.365540847,0
0.947442136,-0.417438492,3
1.060586989,-0.302471886,3
0.679966336,1.21390026,2
-1.494015379,1.235824359,1
0.751203139,0.809126592,2
-1.278433751,1.025385686,1
1.730648675,-1.108213065,3
-1.300905069,-0.902391629,0
-0.965395001,0.825428658,1
0.90831531,-0.745667947,3
0.873887039,-0.529725779,3
-1.152712524,1.298521945,1
-1.052892694,-0.583177651,0
-0.762793593,-1.007450594,0
0.271342269,-1.665785044,3
-0.897889743,1.287914953,1
1.23103975,-1.106171791,3
1.021156927,-0.811770051,3
1.28971539,0.793875014,2
1.280125209,-0.851330843,3
-1.103827477,1.031451242,1
1.200548179,-1.267836361,3
1.192674832,-1.083180842,3
-1.039677108,1.147960597,1
1.24526835,0.980411737,2
0.71115272,-0.922801141,3
-1.410957672,1.103321365,1
-1.056626934,1.167720234,1
1.093279685,-1.253192074,3
-1.290969253,1.259975307,1
0.899487394,-1.085150088,3
-0.884892845,0.442396571,1
0.769452472,-1.026527907,3
-0.934796794,0.925263602,1
0.884645024,1.710782689,2
1.476080337,-1.022487278,3
1.111208517,-1.080846591,3
-0.937326274,-1.260588941,0
-1.48454796,1.02785544,1
0.843614811,1.216137442,2
-0.974518586,0.964554737,1
0.385438689,-1.401600096,3
-0.57827029,0.69334846,1
-1.050039122,0.760346827,1
1.241986207,-1.116632531,3
1.025124565,-0.840602549,3
1.297634255,-0.851903971,3
0.821637439,-0.779096987,3
-1.10613852,1.081367772,1
1.614293474,1.362274089,2
1.149917225,-1.418172498,3
0.840774793,-0.925672261,3
-0.903699492,-0.775310434,0
0.652000738,-1.268720507,3
-1.761046431,-1.08819771,0
-1.162317549,0.725042578,1
-1.033489191,-0.435538884,0
1.565082471,1.302496572,2
-0.82351867,0.699239265,1
-1.267572005,-1.086250543,0
-0.790638683,1.234771587,1
0.939217898,-1.035312037,3
0.961136257,0.841009362,2
0.499967009,0.465244103,2
1.048900969,-0.801208713,3
0.597701539,-1.238996218,3
1.175829366,1.065725925,2
-0.702477025,1.436784756,1
-1.083649929,1.121576275,1
0.922242455,0.983087235,2
-0.841709907,1.441485638,1
-1.398817833,1.085992999,1
-1.480680499,0.976829635,1
-0.730993452,-1.369589523,0
-1.145205455,0.295623007,1
1.453741509,-1.101278599,3
0.760777891,0.980645844,2
-0.10550287,-1.200708265,3
1.500962106,1.170558278,2
1.323574631,0.74041042,2
-1.272174276,0.826560985,1
-1.207730012,1.355190436,1
0.883165698,1.034698882,2
-1.361084145,0.960979747,1
-1.600984939,1.248257769,1
-0.92315213,0.830928315,1
-1.215501436,1.033698752,1
0.738618975,0.778155912,2
1.232879393,-0.974119654,3
-0.524184271,0.72953989,1
0.71083847,-1.037908276,3
-1.388338743,-1.229327283,0
1.174496859,1.155307966,2
-0.540906989,0.712416366,1
-1.505834683,1.315516458,1
1.400152575,-0.804284363,3
1.276222194,1.087914165,2
-0.743911039,1.244817892,1
0.645844687,1.742651989,2
1.185424406,-0.644143855,3
0.784676932,-1.01173257,3
0.968997602,-1.131818753,3
0.992336112,-0.987645256,3
-1.089116948,0.976485026,1
0.821114943,-0.937593541,3
0.710201793,1.226665224,2
1.004391908,-0.976383957,3
0.4066114,-1.15868442,3
1.405358257,-1.515800477,3
0.987876378,-1.055168706,3
-1.269636122,1.219351151,1
1.092531166,-1.338376531,3
2.010624581,0.4891715,2
1.286963078,-1.061003831,3
-1.150963915,0.297813472,1
1.342331648,-1.039575391,3
-1.30282232,-1.076692492,0
-0.982097712,0.692378453,1
